Profile UUID,Earned Rewards this,This Week's Rewards Total,All-time Rewards Count,All-time Rewards Total
db11a2e8-73d9-4e4b-9f13-8eb77bdcd7d4,1,526.32557151,1,526.32557151
93918860-b02b-47dc-944b-4065049dc12a,1,526.32557151,1,526.32557151
997aaaa0-1c6d-4dd1-adc8-1191b50b00b7,1,526.32557151,1,526.32557151
a9b47b93-57f2-4156-8e43-385b06179a11,1,526.32557151,1,526.32557151
b15a53a7-a481-4f75-a070-60f7690f66f5,1,526.32557151,1,526.32557151
ac415d7e-a713-498b-82d5-bf4990534791,1,493.43022329,1,493.43022329
fd6a1519-0946-4291-8acd-18cc28cadf3b,1,493.43022329,1,493.43022329
a4216f48-2a83-4b16-a746-4936b346ce05,1,469.58109583,1,469.58109583
7cb74456-362a-4d4b-8f07-3c7ecb37aec6,1,462.90909683,1,462.90909683
7a160d9b-6c96-4fd2-93e9-b90f0869d57d,1,449.02150321,1,449.02150321
88c24a36-3ecf-4c1a-bce9-cc3301c6e3b2,1,150.30848053,1,150.30848053
00da1ca2-735c-468c-973b-79032082a737,1,149.14966845,1,149.14966845
fa5bce09-9522-41bd-bac9-4ae09b2fa994,1,138.51948799,1,138.51948799
469f4be1-9cda-48bb-b64d-0fb85a07602a,1,130.41471104,1,130.41471104
d9589886-2ec4-40bf-aefa-e981174b7062,1,127.44584225,1,127.44584225
a2ecc779-7f1b-4f30-b878-0ede4816cfe4,1,113.09967143,1,113.09967143
b99b0f1c-81ef-49b3-8632-09cc1bef9338,1,103.15278669,1,103.15278669
904abbc4-7022-407c-b226-7e1242bdaf4b,1,100.20574578,1,100.20574578
d7c9a255-174f-4c89-bc04-c31a102a5813,1,97.25842858,1,97.25842858
1b6222d8-1cf8-4b44-8d93-5b49f7ff323b,1,94.31111137,1,94.31111137
ed901653-31bf-46c9-86f9-005ca02ebc95,1,92.83759091,1,92.83759091
4b6ef08f-37e2-4e71-9874-85714e9f0dda,1,91.7323815,1,91.7323815
9c42b4b9-fe50-45ce-af08-d26c83f44858,1,89.337669,1,89.337669
b50815d8-3034-40ca-80e4-ab5d68729031,1,88.41675325,1,88.41675325
4e9db003-da84-466e-a951-c4c8973dfda9,1,88.41675325,1,88.41675325
