Week Start Date (Monday),New Eligible Devs,Active Devs,Activation Rate (%)
2025-04-28,0,0,0
2025-05-05,0,0,0
2025-05-12,24,7,29.17
2025-05-19,13413,677,5.05
2025-05-26,10453,713,6.82
2025-06-02,60471,1478,2.44
2025-06-09,67908,2128,3.13
2025-06-16,76320,2993,3.92
2025-06-23,87224,3816,4.37
2025-06-30,27181,1241,4.57
2025-07-07,63661,3419,5.37
2025-07-14,192297,9905,5.15
2025-07-21,275016,13852,5.04
2025-07-28,280251,166776,59.51
2025-08-04,40086,40086,100.0
