Week Start Date (Monday),New Eligible Devs,Active Devs,Activation Rate (%)
2025-07-07,0,0,0
2025-07-14,309303,6172,2.0
2025-07-21,362710,7348,2.03
2025-07-28,364044,7668,2.11
2025-08-04,156412,2838,1.81
